OCID,CONTRACT_TITLE,CONTRACT_TYPE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY,CONTRACT_LINK
67-00017,"ADQUISICIÓN DEL SERVICIO DE ALIMENTACIÓN  DESAYUNOS, ALMUERZOS Y MERIENDAS PARA EL PERSONAL QUE REALIZARÁ LA TAREA DE VIGILANCIA, OPERATIVOS EN LOS TRES PUESTOS DE CONTROL DE ACCESO EN EL CANTÓN CHUNCHI Y DEMÁS PERSONAL QUE DESARROLLAN DIFERENTES ACTIVIDADES DURANTE LA SITUACIÓN DE EMERGENCIA",CHIMBORAZO,GAD MUNICIPAL DE CHUNCHI,GAD MUNICIPAL DE CHUNCHI,ORTIZ CALLE FLOR NARCISA,19/03/2020,21/07/2020,"$16.620,25",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=Y7niLrY31HtkxTlhNqFH-TsQjG-_9uhIgDr56hxSCTY,&idSoliCompra=Df05EpMXYZJuLDQik6_NuBc2DPSL4vF_BLjSE6IVo9Y,"
GADMR-ALC-2020-002-R-00012,PRUEBAS DE DIAGNÓSTICO RÁPIDO DE CASOS COVID-19,CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,FRISONEX FRISON IMPORTADORA EXPORTADORA CIA. LTDA.,28/04/2020,6/05/2020,"$100.000,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=xvcnufccLJSeXr_dyfeCW0_lnnkle3cUsI3h1cDDlEU,&idSoliCompra=BgTmqg5I7u-Aw2BDxTJywJHgeD4nMYM8b92MREkFfNs,"
GADMR-ALC-2020-002-R-00011,IMPLEMENTOS DE PROTECCION CONTRA RIESGO BIOLÓGICO,CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,RAMOS NAVARRO JORGE DANIEL,28/04/2020,6/05/2020,"$63.350,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=7d1CLBZJBVxR5zC8SdD7akqujO2homFg0XoNu77pfus,&idSoliCompra=FRlzqhJuwmdgeXhw97QQtNLGRIJE-DBmeYaEmWRWSUw,"
GADMR-ALC-2020-039-R-00001,"PROVISIÓN E INSTALACIÓN DE TOMAS Y CONSOLAS VERTICALES DE GASES MEDICINALES EN LOS SERVICIOS DE EMERGENCIA, MEDICINA INTERNA Y GINECOLOGÍA DEL HOSPITAL PROVINCIAL GENERAL DOCENTE RIOBAMBA",CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,INDURA ECUADOR S.A.,24/07/2020,13/08/2020,"$60.778,61",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=P6NPd21B-e0OdsNClr_Yc4FuBWS2MYGGQpm-lISXgQk,&idSoliCompra=Ml7qvvW2qNJ1aQzWl2XgitSrpJ4v4HYHGpB4Zfe1nPU,"
GADMR-ALC-2020-002-R-00026,PRODUCTOS DE HIGIENIZACIÓN Y DESINFECCIÓN PARA DEPENDENCIAS DEL GAD MUNICIPAL Y PARROQUIAS RURALES DEL CANTÓN RIOBAMBA,CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,ERAZO ARRIETA LUIS ROBERTO,11/06/2020,13/06/2020,"$59.350,50",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=N8oZ3CkGRgKSWHS4znQonzQNRGmmkuJhGi1VEgDoFyQ,&idSoliCompra=AqXlYhhgbwq_mLrDvBws6FoUHNrE_23xLLIldvGwuUM,"
GADMR-ALC-2020-002-R-00010,PRENDAS DE BIOSEGURIDAD PARA PERSONAL SANITARIO,CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,RODRIGUEZ EGAS WILLIAM MANUEL,28/04/2020,6/05/2020,"$59.300,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=AAqNYn3M1L-Tx1tuAeOg1yKUb0v5C0rgkVX4viZrdwY,&idSoliCompra=9Z66Hccrjz38LdAEanmZDb6ueSrVQppz8pMg8FFlaVY,"
GADMR-ALC-2020-002-R-00002,KITS ALIMENTARIOS PARA APOYO A LOS GRUPOS DE ATENCION PRIORITARIA FRENTE A LA DECLARATORIA DE PANDEMIA COVIT-19.,CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,"ASOCIACION DE SERVICIOS DE COMERCIALIZACION LIDAXA ""ASOLIDAXA""",9/04/2020,24/04/2020,"$53.050,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=DIAqBG2iQIwQwYkNA55o7lHJilPeT6AnLY4GPB9qnTM,&idSoliCompra=ZGM4deY7KzDkPuZW2B1K_WmRlGLpXb2vXwMpyhzlTTs,"
GADMR-ALC-2020-002-R-00013,"SERVICIOS DE RECOLECCIÓN, TRANSPORTE, TRATAMIENTO Y DISPOSICIÓN FINAL DE DESECHOS SANITARIOS",CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,GADERE S.A.,2/04/2020,17/05/2020,"$52.241,28",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=i7-MvTgNYyXFdswoDRFKTH3D2jiGS3EAgVVUApzLpAs,&idSoliCompra=1o6Nii5ha_fCVmpdeY9_nBQ8XMoUHDoFzQnSQlCO-lE,"
GADMR-ALC-2020-002-R-00001,KITS DE BIOSEGURIDAD Y PRENDAS DE PROTECCIÓN DESECHABLES,CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,BAEZ EGAS MANUEL RAMIRO,8/04/2020,11/04/2020,"$47.075,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=iImRNv0VLnGkpRA6jFEQABPPTyLWmktJ5UvmL14SAz0,&idSoliCompra=9zFN942k-YtgYMCRrTLtK9rMyFWMzHcYpZtHmWJoUz4,"
GADMR-ALC-2020-002-R-00004,SERVICIO DE TERMONEBULIZACION Y DESINFECCIÓN POR ASPERSIÓN PARA LA ZONA URBANA DE LA CIUDAD DE RIOBAMBA,CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,TELLO ARIAS PAUL JAVIER,19/03/2020,10/05/2020,"$43.263,90",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=insIjG-HYWoZvSmMrWcCoOhCJwfe3p2ryBUREz5nyDI,&idSoliCompra=o6j8AkSZyc6yjqKBqGSZUk6A2BmeIfgxaZmH3K7RHXI,"
GADMR-ALC-2020-002-R-00018,KITS ALIMENTARIOS PARA APOYO A LOS GRUPOS DE ATENCION PRIORITARIA  PARA LAS PARROQUIAS RURALES DEL CANTON RIOBAMBA.,CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,BONILLA VELOZ DIANA MARCELA,21/05/2020,26/05/2020,"$34.840,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=JOqQpiknORytqlJfMtEXFslTDCF27zMVCzh1mSD2qQI,&idSoliCompra=l_YsgFNzVCDRQ2HZRBKlrerrtLbVAEwp0TyMm5vrV8Q,"
GADMR-ALC-2020-002-R-00019,KITS ALIMENTARIOS PARA APOYO A LOS GRUPOS DE ATENCION PRIORITARIA  PARA LAS PARROQUIAS RURALES DEL CANTON RIOBAMBA.,CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,SANTAMARIA FLORES LIBIA LEONOR,21/05/2020,26/05/2020,"$34.840,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=uHlNClViea45UXQco8nJQ3xOZTMU7lxKxm2rywcM6ns,&idSoliCompra=hK5aQBdiFJYOoEHtzfyM8_LtbT2wstVfh5vviY6Q0i4,"
GADMR-ALC-2020-002-R-00023,PRODUCTOS ALIMENTICIOS NO PERECIBLES DE PRIMERA NECESIDAD Y FUNDAS PARA EMPAQUETADO DE KITS PARA ATENCIÓN A GRUPOS VULNERABLES DEL CANTÓN RIOBAMBA,CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,YAULEMA BRITO WASHINGTON PAOLO,11/06/2020,13/06/2020,"$31.554,90",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=oBOVJ3LtjNmJ_pAu5qKsflNFDcp1eHBcA010fhyst8A,&idSoliCompra=jIXxDp_WTvvbnpbS42HOWl5aOtC5rG2d9lR25i3qkZ4,"
GADMR-ALC-2020-002-R-00016,PRENDAS DE PROTECCIÓN BIÓLOGICAS PARA PARROQUIAS RURALES,CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,BAEZ CEDEÑO IMPORTACION & NEGOCIOS GROUP-KERBAC S.A.,14/05/2020,18/05/2020,"$29.989,56",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=sL-3t58ASnMCV5QNuhqSzI5NycBSQdUQrDoqTYvJ6V0,&idSoliCompra=t3Y06p3Jlunj8Y8_ZJmvbeFaKSVi2M2n_do9dhvTZbU,"
GADMR-ALC-2020-002-R-00021,MASCARILLAS CON CAPACIDAD DE FILTRADO DEL 95%,CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,CABEZAS RAMOS DANIEL ALEJANDRO,8/06/2020,10/06/2020,"$21.600,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=oKaZmGOMSVoY7IFovJG_QZXdpUhPGwOpy6sIvWXilYA,&idSoliCompra=5Bu-o_qvZAi5NQSIv7rEeWUbhvdKZbk4tVxjvV7QdOw,"
GADMR-ALC-2020-002-R-00024,SERVICIO DE TERMONEBULIZACION Y DESINFECCIÓN PARA  ESPACIOS PUBLICOS DE LA ZONA URBANA DEL CANTON RIOBAMBA,CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,TELLO ARIAS PAUL JAVIER,28/05/2020,14/06/2020,"$15.503,40",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=_oD5kM462BaZ18sm1XOQx2OqGqs2t3cY43osJVL_Fks,&idSoliCompra=lZGozNkymO2UzVaq6WMaqaD0edb5cwJ_MeJku65SPA4,"
GADMR-ALC-2020-002-R-00005,TÚNELES DE DESINFECCIÓN PEATONAL MEDIANTE NEBULIZACIÓN PARA MERCADOS DE LA CIUDAD DE RIOBAMBA,CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,ESTRADA VELASTEGUI GUILLERMO FRANCISCO,15/04/2020,25/04/2020,"$13.200,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=EofC35F-AwO-6qMUImukxVg54TipYRMja8DtL38KOJQ,&idSoliCompra=fPtJtVbrSY1lyAzZEcjSCExY5Px8T79JrJy6bTCBIuk,"
GADMR-ALC-2020-002-R-00027,CÁMARAS DE DESINFECCIÓN MEDIANTE OZONO,CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,IAF INDUSTRIAS INDUSTRIA DE AGUA Y FILTRACION CIA LTDA,11/06/2020,13/06/2020,"$12.000,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=ZYaIfE-9YnKTWyuQx9EbD1AT6ZWgB0Jhqakb8bbKAw8,&idSoliCompra=j5EpgI6CmSxpObtfeSKjtAlsLEp1ynm86TQAcm06hkI,"
GADMR-ALC-2020-002-R-00003,SERVICIOS DE DESINFECCIÓN DE ESPACIOS PÚBLICOS DE LAS PARROQUIAS RURALES,CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,"EQUIPO TECNICO EN MANTENIMIENTO, ASEO Y LIMPIEZA INTEGRAL ETTEMMALISA S.A.",21/03/2020,12/05/2020,"$11.500,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=ERmO5ZAFU1kGPiuTmISDXlEp-eIrM9PyG5vWWfdwsLE,&idSoliCompra=wQxZYxQoFRuZbyAOD79Mfd-A6e5oGOrGZIqv4UwV7Z8,"
GADMR-ALC-2020-002-R-00022,PEDILUVIO EN ACERO INOXIDABLE PARA DESINFECCIÓN DE CALZADO,CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON RIOBAMBA ,AUQUILLA FREIRE DIEGO SEBASTIAN,9/06/2020,11/06/2020,"$10.950,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=2q44MK63NR3n-kTRYGwFOpDKePYPX2jhXF2t0i5n5Mw,&idSoliCompra=qJDDbfkyxCxYkZNp_MQTUvQpeJoW7-2_Bv1In4DpOUQ,"
073-SC-GADMCH-2020-00003,"ADQUISICIÓN DE PRENDAS DE PROTECCION, EQUIPOS DE SEGURIDAD INDUSTRIAL E INSUMOS PARA LA PROTECCION DEL PERSONAL QUE LABORA EN EL GAD MUNICIPAL DE CHAMBO Y LA PROTECCION DE LA POBLACION CHAMBEÑA EN LA EMERGENCIA DE LA PANDEMIA DEL COVID-19",CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE CHAMBO,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE CHAMBO,COELLO VALDIVIESO LUIS ARTURO,1/04/2020,27/04/2020,"$21.445,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=wE4FM51ETfj2o5F4cTVN0l3gvgMHCwzEJJl3utGn48Y,&idSoliCompra=Dru5OrZbXxkzgP11HzBmYAQ3rCiVswIDXq7pBRUCC3Q,"
054-GADMCA-00002,"ADQUISICIÓN DE KITS ALIMENTICIOS PARA LA ATENCIÓN A LA POBLACIÓN VULNERABLE DEL CANTON ALAUSI, POR IMPACTO NEGATIVO GENERADO DE LA EMERGENCIA SANITARIA POR EL COVID – 19",CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSI,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSI,MEDINA LLERENA ROSARIO ANDREA,8/04/2020,16/04/2020,"$127.000,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=3bcodwsZtcOvrl3G2TTKiRMwAMFNGu8vfDJMhyxTKF4,&idSoliCompra=kw5HCaEp_Pv7Tku_M4vgvm_1m_8IEgCisafvJGBI6ZU,"
054-GADMCA-00020,"ADQUISICIÓN DE PRUEBAS RÁPIDAS DE DIAGNOSTICO DEL COVID-19, CONFORME EL CONVENIO DE COOPERACIÓN INTERINSTICIONAL ENTRE EL GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSÍ Y LA COORDINACIÓN ZONAL 3",CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSI,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSI,VEGA ESPINOZA HERNAN JAVIER,4/05/2020,19/05/2020,"$86.800,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=bl--36tvVzzsPq0B9Sg5lazYdp9PrA8-WyDK-Epdsgc,&idSoliCompra=5SAfUK3cEm0u0xGMU5zly0SIbMLmi-ghs8ymsWETd3k,"
054-GADMCA-00022,"CONSTRUCCION DE UN BLOQUE DE BOVEDAS EN EL CEMENTERIO DE LA PARROQUIA MATRIZ DEL CANTÓN ALAUSÍ, PARA AFRONTAR LA EMERGENCIA SANITARIA POR EL COVID - 19",CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSI,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSI,PARRA PEÑAFIEL LENIN DANILO,25/05/2020,25/06/2020,"$28.353,13",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=o2eFDqjQlxQJF8aYGXBJVdHVjX81AuQXq8Yjug5JzsA,&idSoliCompra=y37CdXcbs4CFeR0irGOhLJ9g9NIn97bg_gfgMV-bYkw,"
054-GADMCA-00037,"AQUISICIÓN DE MASCARILLAS KN95 IMPORTADAS DE CINCO CAPAS, PARA REDUCIR LA TRANSMISIÓN DEL VIRUS Y PROTEGER A LAS PERSONAS QUE SE EXPONEN A RIESGO BIOLÓGICO EN ACTIVIDADES LABORALES, CON BASE EN EL CONVENIO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE EL GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CAN",CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSI,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSI,LOUMEL S.A.,1/05/2020,8/05/2020,"$23.940,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=ahxBZsJKNXjNgiQhRbSuUZm6jtYhCvjMlnFJTej2wA4,&idSoliCompra=7mHNnIh_S0r8fSw4ELLy71MGfMm58vvnaQL4Bnp0jkA,"
054-GADMCA-00036,"ADQUISICIÓN DE IMPLEMENTOS DE BIOSEGURIDAD PARA PERSONAL SANITARIO, SEGÚN LA EXPOSICIÓN A RIESGO BIOLÓGICO Y ACTIVIDADES LABORALES, CON BASE EN EL CONVENIO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE EL GOBIERNO AUTÓNOMO DESCENTRALIZDO MUNICIPAL DEL CANTÓN ALAUSÍ Y LA COORDINACIÓN ZONAL 3 – SALUD.",CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSI,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSI,DISTRIBUIDORA BIONCOMEDICA CIA. LTDA.,21/05/2020,29/05/2020,"$18.905,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=WPUxSXuxVKw9b3Hy22AAmYVfq88A-DoLY2vcRpVbzDA,&idSoliCompra=101RPoHMHcNseUUfR9WuBHNYYDUhhTOCXusT6IHi69g,"
054-GADMCA-00001,"ADQUISICIÓN DE CINCO ARCOS DE FUMIGACIÓN VEHICULAR Y CINCO CÁMARAS DE BIOSEGURIDAD DESINFECCIÓN DE PERSONAS, PARA INSTALAR EN SITIOS ESTRATÉGICOS DE ALTA MOVILIDAD DE VEHÍCULOS Y PERSONAS EN EL CANTÓN ALAUSÍ, PROVINCIA DE CHIMBORAZO.",CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSI,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSI,LEON TERAN JUAN EDUARDO,8/04/2020,15/04/2020,"$14.265,75",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=5_tLLKHJleW8wbaWBhMkMoYGUk0ivO_6WQ9HbbVZDHs,&idSoliCompra=farrSwBvjLhYtiWCEqLgT_CmcK6E-j4RKY7_flqgrbM,"
054-GADMCA-00003,"ADQUIRIR GEL ANTISÉPTICO PARA LA DESINFECCIÓN PERIÓDICA DE MANOS DE LAS PERSONAS QUE CONCURREN A SITIOS DE ALTO TRÁFICO COMO: MERCADO MUNICIPAL, FERIA LIBRE, HOSPITAL, INSTITUCIONES, GADS PARROQUIALES, COMUNIDADES Y CABILDOS DE LA PROVINCIA DE CHIMBORAZO, QUE PERMITA EVITAR EL CONTAGIO Y PROPAGACIÓ",CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSI,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSI,SANCHEZ GALLEGOS ORLANDO RODRIGO,8/04/2020,16/04/2020,"$11.784,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=nbKAkyRWaVYL97E3kiYZ8cw5NJzCu6LcUvLqlA890Yw,&idSoliCompra=eaZVh1qp2CGRODCDOWhzN5UUJJolb3DnRm4C_cugxPk,"
054-GADMCA-00019,"ADQUIRIR RESPIRADORES/MASCARILLAS ANTIFLUIDOS, PARA   REDUCIR LA TRANSMISIÓN DEL VIRUS Y PROTEGER A LAS PERSONAS QUE SE MOVILZAN EN LOS SITIOS PUBLICOS DE ALTO TRAFICO DE PERSONAS DEL CANTÓN ALAUSÍ. PRODUCTO QUE SERVIRÁ COMO MEDIDA DE PREVENCION DE CONTAGIO DE COVID-19.",CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSI,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSI,PONCE SIGCHAY VERONICA ALEJANDRA,11/05/2020,19/05/2020,"$11.200,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=_u-_m2-c5G2tdkbEq5Ncd4F_i_TnhChmjPmgwVVH24M,&idSoliCompra=NQQXvFdzfNvijKFYICsRwp8647BTWRcbHMAvWZ8abrg,"
054-GADMCA-00009,ADQUISICIÓN DE EQUIPOS DE PROTECCIÓN PERSONAL PARA LOS SERVIDORES Y TRABAJADORES DEL GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN ALAUSÍ COMO PARTE DE LAS MEDIDAS DE PREVENCIÓN FRENTE AL COVID-19,CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSI,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSI,CABEZAS GAVILANES DANILO VIDAL,8/04/2020,22/04/2020,"$10.952,26",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=FPu1WEeu3DzbqoTzc8O8CgHT1kgNRrJ43NP_j30Hgz0,&idSoliCompra=8Bz65btf8m9hSe6jxj_mcp6WEC3h9RwMae05AvTDPp0,"
054-GADMCA-00041,ADQUISICIÓN DE HIPOCLORITO DE CALCIO GRANULAR Y RECARGA DE 19 CILINDROS DE CLORO GAS PARA TRATAMIENTO DE AGUA POTABLE DE LA CIUDAD DE ALAUSI,CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSI,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSI,BALDEON JATIVA FANNY YOLANDA,1/06/2020,9/06/2020,"$10.770,50",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=dcGL5ReKs-c7ymADQYmwJlEopoQHjqGHD1H1cVsD-2I,&idSoliCompra=ZeiyPzEQNd_Hur7-ioElnbJRGoJXBBI1Hoy-_EHAC7Q,"
054-GADMCA-00018,"ADQUIRIR RESPIRADORES/MASCARILLAS ANTIFLUIDOS, PARA   REDUCIR LA TRANSMISIÓN DEL VIRUS Y PROTEGER A LAS PERSONAS QUE SE MOVILZAN EN LOS SITIOS PUBLICOS DE ALTO TRAFICO DE PERSONAS DEL CANTÓN ALAUSÍ. PRODUCTO QUE SERVIRÁ COMO MEDIDA DE PREVENCION DE CONTAGIO DE COVID-19.",CHIMBORAZO,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSI,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ALAUSI,PARRA TAPIA JORGE RICARDO,11/05/2020,19/05/2020,"$10.000,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=fyK2Au5uJujJsWc05rg2MByWW9Vep2pU9unYqzJn2gw,&idSoliCompra=q6JAeo_vOYlrdkddLCADYr15GexVl4fZJiyrHIbHdWY,"
